stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ALLONN-E,5460,"ALLONNEAU",,47.485272,-0.526813,,,0,,,1
ALLONNEA,16562,"ALLONNEAU",,47.485151,-0.527028,,,0,,,1
ALLUME-E,6636,"ALLUMETTES",,47.444974,-0.502194,,,0,,,0
ALLUMETT,15447,"ALLUMETTES",,47.445270,-0.502320,,,0,,,0
ALSA-A,610546,"ALSACE",,47.470174,-0.550121,,,0,,,0
ALSA-R,210951,"ALSACE",,47.470226,-0.550386,,,0,,,0
ANAFRA-E,882585,"ANATOLE FRANCE",,47.531319,-0.613741,,,0,,,1
ANAFRAN,345518,"ANATOLE FRANCE",,47.531085,-0.613723,,,0,,,1
ANBRUE-E,648185,"ANDRE BRUEL",,47.526672,-0.468006,,,0,,,1
ANBRUEL,491458,"ANDRE BRUEL",,47.526587,-0.468124,,,0,,,1
ANDALA-E,587106,"GRAND LAUNAY",,47.461932,-0.387211,,,0,,,0
ANDALAUN,544772,"GRAND LAUNAY",,47.461916,-0.387439,,,0,,,0
ANDAMA-E,319038,"ANDARD MAIRIE",,47.456503,-0.397701,,,0,,,0
ANDAMAIR,383609,"ANDARD MAIRIE",,47.456535,-0.398180,,,0,,,0
ANDARE-E,503720,"REZEAU",,47.466847,-0.381857,,,0,,,0
ANDARESA,293715,"REZEAU",,47.467940,-0.378963,,,0,,,0
ANFRANCK,6103,"ANNE FRANK",,47.463559,-0.537773,,,0,,,1
ANFRAN-E,7909,"ANNE FRANK",,47.463465,-0.537766,,,0,,,1
ANLERO-E,14800,"ANDRE LEROY",,47.464626,-0.549028,,,0,,,1
ANLEROY,29097,"ANDRE LEROY",,47.464661,-0.548248,,,0,,,1
ANRO-11C,7919,"ANGERS - ROSERAIE",,47.444954,-0.551545,,,0,,,0
ANRO-11E,17931,"ANGERS - ROSERAIE",,47.444875,-0.551926,,,0,,,0
ANRO-5A,17458,"ANGERS - ROSERAIE",,47.444012,-0.553918,,,0,,,1
ANRO-5B,12151,"ANGERS - ROSERAIE",,47.443776,-0.553672,,,0,,,1
APPENT-E,20678,"APPENTIS",,47.445199,-0.546563,,,0,,,1
APPENTIS,30879,"APPENTIS",,47.445518,-0.546286,,,0,,,1
AQUA-A5A,17213,"AQUAVITA - CIRCULAIRE SENS A",,47.493399,-0.565286,,,0,,,1
AQUA-A5B,961964,"AQUAVITA - CIRCULAIRE SENS B",,47.493401,-0.565285,,,0,,,1
AQUA-D5A,55947,"AQUAVITA - CIRCULAIRE SENS A",,47.493407,-0.565537,,,0,,,1
AQUAVITA,52941,"AQUAVITA",,47.493401,-0.565285,,,0,,,1
AQUIT11,462834,"ALIENOR D'AQUITAINE",,47.462897,-0.615049,,,0,,,1
AQUITA-E,14482,"ALIENOR D'AQUITAINE",,47.463023,-0.615073,,,0,,,1
AQVI-D5B,96211,"AQUAVITA - CIRCULAIRE SENS B",,47.493497,-0.565528,,,0,,,1
ARAGO-E,26055,"ARAGON",,47.471766,-0.566403,,,0,,,0
ARAGON,25304,"ARAGON",,47.471657,-0.566612,,,0,,,0
ARBORE-E,21951,"ARBORETUM",,47.449385,-0.544430,,,0,,,1
ARBORETU,32544,"ARBORETUM",,47.449317,-0.544143,,,0,,,1
ARCAD-E,17259,"ARCADES",,47.507205,-0.516591,,,0,,,0
ARCADES,24569,"ARCADES",,47.506927,-0.516858,,,0,,,0
ARCEAU,15889,"ARCEAU",,47.471079,-0.519783,,,0,,,1
ARCEAU-E,16444,"ARCEAU",,47.470973,-0.519837,,,0,,,1
AROBA-E,31354,"AROBASE",,47.463994,-0.531698,,,0,,,0
AROBASE,21097,"AROBASE",,47.464591,-0.531546,,,0,,,0
ARTAUD,22172,"ARTAUD",,47.434046,-0.610954,,,0,,,1
ARTAUD-E,14855,"ARTAUD",,47.433341,-0.610894,,,0,,,1
ATHLET-E,12108,"ATHLETIS",,47.441471,-0.528349,,,0,,,1
ATHLETIS,30156,"ATHLETIS",,47.441615,-0.527949,,,0,,,1
ATOLL,21638,"L'ATOLL",,47.483026,-0.632254,,,0,,,0
ATOLL-AR,540059,"BEAUCOUZE L'ATOLL",,47.484128,-0.626432,,,0,,,1
ATOLLBEA,20041,"BEAUCOUZE L'ATOLL",,47.484232,-0.626432,,,0,,,1
ATOLL-E,43346,"L'ATOLL",,47.483180,-0.632515,,,0,,,0
